# wsi_id	label
normal_001	0
normal_002	0
normal_003	0
normal_004	0
normal_005	0
normal_006	0
normal_007	0
normal_008	0
normal_009	0
normal_010	0
normal_012	0
normal_014	0
normal_015	0
normal_016	0
normal_017	0
normal_018	0
normal_019	0
normal_020	0
normal_022	0
normal_023	0
normal_024	0
normal_025	0
normal_026	0
normal_027	0
normal_028	0
normal_029	0
normal_030	0
normal_031	0
normal_032	0
normal_033	0
normal_034	0
normal_035	0
normal_036	0
normal_037	0
normal_038	0
normal_039	0
normal_040	0
normal_041	0
normal_042	0
normal_043	0
normal_044	0
normal_045	0
normal_047	0
normal_048	0
normal_049	0
normal_050	0
normal_051	0
normal_052	0
normal_053	0
normal_054	0
normal_055	0
normal_056	0
normal_057	0
normal_058	0
normal_059	0
normal_060	0
normal_061	0
normal_062	0
normal_064	0
normal_065	0
normal_066	0
normal_067	0
normal_068	0
normal_069	0
normal_070	0
normal_071	0
normal_072	0
normal_073	0
normal_074	0
normal_075	0
normal_076	0
normal_077	0
normal_078	0
normal_079	0
normal_081	0
normal_083	0
normal_084	0
normal_085	0
normal_087	0
normal_088	0
normal_089	0
normal_091	0
normal_092	0
normal_093	0
normal_095	0
normal_097	0
normal_098	0
normal_099	0
normal_100	0
normal_101	0
normal_102	0
normal_103	0
normal_104	0
normal_106	0
normal_107	0
normal_108	0
normal_110	0
normal_111	0
normal_112	0
normal_113	0
normal_114	0
normal_115	0
normal_116	0
normal_117	0
normal_118	0
normal_119	0
normal_120	0
normal_121	0
normal_122	0
normal_124	0
normal_125	0
normal_126	0
normal_127	0
normal_128	0
normal_129	0
normal_130	0
normal_131	0
normal_132	0
normal_133	0
normal_134	0
normal_135	0
normal_136	0
normal_137	0
normal_138	0
normal_139	0
normal_140	0
normal_141	0
normal_142	0
normal_143	0
normal_147	0
normal_148	0
normal_149	0
normal_150	0
normal_151	0
normal_152	0
normal_153	0
normal_154	0
normal_155	0
normal_156	0
normal_157	0
normal_158	0
normal_159	0
tumor_001	1
tumor_003	1
tumor_004	1
tumor_005	1
tumor_006	1
tumor_007	1
tumor_008	1
tumor_009	1
tumor_010	1
tumor_011	1
tumor_012	1
tumor_013	1
tumor_014	1
tumor_015	1
tumor_017	1
tumor_018	1
tumor_019	1
tumor_020	1
tumor_021	1
tumor_022	1
tumor_023	1
tumor_024	1
tumor_025	1
tumor_026	1
tumor_027	1
tumor_028	1
tumor_029	1
tumor_030	1
tumor_031	1
tumor_033	1
tumor_036	1
tumor_037	1
tumor_038	1
tumor_040	1
tumor_041	1
tumor_042	1
tumor_043	1
tumor_044	1
tumor_045	1
tumor_046	1
tumor_047	1
tumor_048	1
tumor_049	1
tumor_050	1
tumor_051	1
tumor_052	1
tumor_053	1
tumor_054	1
tumor_056	1
tumor_058	1
tumor_059	1
tumor_060	1
tumor_061	1
tumor_064	1
tumor_065	1
tumor_066	1
tumor_067	1
tumor_068	1
tumor_069	1
tumor_070	1
tumor_071	1
tumor_073	1
tumor_074	1
tumor_075	1
tumor_076	1
tumor_077	1
tumor_078	1
tumor_079	1
tumor_080	1
tumor_081	1
tumor_082	1
tumor_083	1
tumor_084	1
tumor_085	1
tumor_086	1
tumor_087	1
tumor_088	1
tumor_089	1
tumor_090	1
tumor_091	1
tumor_092	1
tumor_093	1
tumor_094	1
tumor_095	1
tumor_096	1
tumor_097	1
tumor_098	1
tumor_099	1
tumor_100	1
tumor_101	1
tumor_102	1
tumor_103	1
tumor_104	1
tumor_105	1
tumor_106	1
tumor_107	1
tumor_108	1
tumor_109	1
tumor_110	1
